GEN_DB,SP_DB,COUNTRY,LAT,LONG,Make SDM,Philippine map
Aethriamanta,gracilis,Malaysia,1.4829,110.2773,Yes,
Aethriamanta,gracilis,Malaysia,1.4866,110.1904,Yes,
Aethriamanta,gracilis,Malaysia,1.50329,110.51848,Yes,
Aethriamanta,gracilis,Malaysia,1.608667,110.225,Yes,
Aethriamanta,gracilis,Malaysia,1.6418,109.7843,Yes,
Aethriamanta,gracilis,Malaysia,1.726683,109.72607,Yes,
Aethriamanta,gracilis,Malaysia,1.94,112.828,Yes,
Aethriamanta,gracilis,Malaysia,2.374167,102.607778,Yes,
Aethriamanta,gracilis,Malaysia,2.56477,102.12684,Yes,
Aethriamanta,gracilis,Malaysia,2.649,102.123,Yes,
Aethriamanta,gracilis,Malaysia,2.653,113.0511,Yes,
Aethriamanta,gracilis,Malaysia,2.7245,113.3492,Yes,
Aethriamanta,gracilis,Malaysia,2.8942,113.2115,Yes,
Aethriamanta,gracilis,Malaysia,2.91772,102.26852,Yes,
Aethriamanta,gracilis,Malaysia,2.9182,113.1161,Yes,
Aethriamanta,gracilis,Malaysia,2.92227,101.7832,Yes,
Aethriamanta,gracilis,Malaysia,2.9391,113.1185,Yes,
Aethriamanta,gracilis,Malaysia,2.9724,114.9262,Yes,
Aethriamanta,gracilis,Malaysia,3.03911,114.76162,Yes,
Aethriamanta,gracilis,Malaysia,3.0666,101.87852,Yes,
Aethriamanta,gracilis,Malaysia,3.06676,101.88039,Yes,
Aethriamanta,gracilis,Malaysia,3.10804,101.9108,Yes,
Aethriamanta,gracilis,Malaysia,3.15022,101.91209,Yes,
Aethriamanta,gracilis,Malaysia,3.1571,114.6342,Yes,
Aethriamanta,gracilis,Malaysia,3.157917,102.00222,Yes,
Aethriamanta,gracilis,Malaysia,3.16664,101.58079,Yes,
Aethriamanta,gracilis,Malaysia,3.2333,101.75,Yes,
Aethriamanta,gracilis,Malaysia,3.241,114.335,Yes,
Aethriamanta,gracilis,Malaysia,3.256,114.295,Yes,
Aethriamanta,gracilis,Malaysia,3.388,101.4135,Yes,
Aethriamanta,gracilis,Malaysia,3.4661,101.4421,Yes,
